# Raman tensor in 10^(-30) Cm^2/V
# mode: 8   phonon freq: 3111.638698
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.53246+0.00000j 6.245e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.233e+01+0.000e+00j 3.284e+01+0.000e+00j
0.54196+0.00000j 4.999e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.220e+01+0.000e+00j 3.073e+01+0.000e+00j
0.55147+0.00000j 6.195e+00+0.000e+00j 0.000e+00+0.000e+00j 8.567e+00-3.856e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.083e+01+0.000e+00j 2.971e+01+0.000e+00j
0.56098+0.00000j 7.428e+00+0.000e+00j 0.000e+00+0.000e+00j 7.151e+00-7.770e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.031e+01+0.000e+00j 2.916e+01+0.000e+00j
0.57049+0.00000j 6.228e+00-1.311e-02j 0.000e+00+0.000e+00j 8.333e+00-9.175e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.062e+01+0.000e+00j 2.928e+01+0.000e+00j
0.58000+0.00000j 4.982e+00-1.311e-02j 0.000e+00+0.000e+00j 9.579e+00-9.175e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.174e+01+0.000e+00j 2.984e+01+0.000e+00j
0.58951+0.00000j 4.967e+00+0.000e+00j 0.000e+00+0.000e+00j 8.549e+00-5.326e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.052e+01+0.000e+00j 2.750e+01+0.000e+00j
0.59901+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.492e+00-1.068e-03j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.341e+00+0.000e+00j 2.520e+01+0.000e+00j
0.60852+0.00000j 6.201e+00+0.000e+00j 0.000e+00+0.000e+00j 8.691e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.096e+01+0.000e+00j 2.999e+01+0.000e+00j
0.61803+0.00000j 7.447e+00+0.000e+00j 0.000e+00+0.000e+00j 9.938e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.267e+01+0.000e+00j 3.495e+01+0.000e+00j
